iteration,loss,entropy,lambda_0,lambda_1
1,4.5534670404943647,4.6043911168777019,0.0000000000000000,0.14557239069988340
2,4.5044834711287370,4.6021307223743895,0.0000000000000000,0.28771862438045490
3,4.4580810114815135,4.5985044305670746,0.0000000000000000,0.42652212318552490
5,4.3720945694427646,4.5902747732142490,0.13045194323897974,0.56206675272495440
10,4.1835670471368118,4.5581876611341912,0.50462215463779610,0.81416830898974410
20,3.2037850143863942,3.4675596532919681,4.1326468050985640,4.1203851942018460
50,3.1709389711531495,3.1705613150634631,5.8805050188416480,4.0147649660976490
100,3.1709389280031175,3.1709389276298126,5.8795313549995200,4.0135187975142200
200,3.1709389280031170,3.1709389281312537,5.8795313516019400,4.0135187980476040
500,3.1709389280031170,3.1709389281312537,5.8795313516019400,4.0135187980476040
